Firmenname,Adresse,PLZ,Stadt,URL,RoWo-Kriterien,Begründung,Zertifizierung,Bemerkung
Stadtwerke Eutin GmbH,Holstenstraße 6,23701,Eutin,https://www.stadtwerke-eutin.de/,A,,OKPower,
Stadtwerke EVB Huntetal GmbH,Amelogenstr. 1,49356,Diepholz,https://www.stadtwerke-huntetal.de/,A,,,
Stadtwerke Fellbach GmbH,Ringstraße 5,70736,Fellbach,https://www.stadtwerke-fellbach.de/,A,,,
Stadtwerke Feuchtwangen,Ansbacher Straße 29,91555,Feuchtwangen,https://stadtwerke-feuchtwangen.de/startseite.html,A,,,
Stadtwerke Finsterwalde GmbH,Langer Damm 14,3238,Finsterwalde,https://www.stadtwerke-finsterwalde.de/,A,,,
Stadtwerke Flensburg GmbH,Batteriestr. 48,24939,Flensburg,http://www.stadtwerke-flensburg.de/,A,,,
Stadtwerke Forchheim GmbH,Haidfeldstrasse 8,91301,Forchheim,https://www.stadtwerke-forchheim.de/,A,,,
Stadtwerke Forst GmbH,,,,,A,,,
Stadtwerke Frankenthal GmbH,Wormser Str. 111,67227,Frankenthal,https://www.stw-frankenthal.de/,A,,,
Stadtwerke Frankfurt (Oder) GmbH,Karl-Marx-Straße 195,15230,Frankfurt (Oder),https://www.stadtwerke-ffo.de/kundencentrum/service/,A,,,
Stadtwerke Freudenberg GmbH & Co. KG,Hauptstraße 152,97896,Freudenberg,https://www.stadtwerke-freudenberg.de/,A,,,
Stadtwerke Freudenstadt GmbH & Co. KG,Reichsstraße 9,72250,Freudenstadt,https://www.stadtwerke-freudenstadt.de/de/Privatkunden,A,,,
Stadtwerke Friedrichsthal GmbH & Co. KG,,,,,A,,,
Stadtwerke Fröndenberg GmbH,,,,,A,,,
Stadtwerke Fürstenfeldbruck GmbH,Bullachstrasse 27,82256,Fürstenfeldbruck,https://www.stadtwerke-ffb.de/,R,,KlimaInvest-Ökostrom,Bildungsarbeit etc.
Stadtwerke Furth im Wald GmbH & Co. KG,,,,,A,,,
Stadtwerke Gaggenau,,,,,A,,,
Stadtwerke Garbsen GmbH,Kochslandweg 20-22,30823,Garbsen,https://www.stadtwerke-garbsen.de/,A,,,
Stadtwerke Geesthacht GmbH,Elbuferstraße 48-54,21502,Geesthacht,https://www.stadtwerke-geesthacht.de/startseite,A,,,
Stadtwerke Geldern GmbH,Markt 25,47608,Geldern,https://www.stadtwerke-geldern.de/,A,,,
Stadtwerke Gelnhausen GmbH,Philipp-Reis-Straße 1 - 3,63571,Gelnhausen,https://www.stadtwerke-gelnhausen.de/startseite.html,A,,,
Stadtwerke Gengenbach,Hauptstraße 17,77723,Gengenbach,https://www.stadtwerke-gengenbach.de/index.php?id=4,A,,,
Stadtwerke Georgsmarienhütte GmbH,Malbergerstraße 13,49124,Georgsmarienhütte,http://www.sw-gmhuette.de/,A,,,
Stadtwerke Germersheim GmbH,Gaswerkstraße 3,76726,Germersheim,https://www.stw-ger.de/,A,,,
Stadtwerke Gescher GmbH,Inselstr. 5,48712,Gescher,https://www.stadtwerke-gescher.de/,A,,,
Stadtwerke Gießen AG,Lahnstraße 31,35398,Gießen,https://www.swg-konzern.de/,A,,,
Stadtwerke Gifhorn GmbH,Torstraße 7,38518,Gifhorn,https://www.stadtwerke-gifhorn.de/,A,,,
Stadtwerke Glauchau Dienstleistungsgesellschaft mbH,,,,,A,,,
Stadtwerke Glückstadt GmbH,Bahnhofstrasse 2,25348,Glückstadt,https://www.stadtwerke-glueckstadt.de/,A,,,
Stadtwerke GmbH Bad Kreuznach,,,,,A,,,
Stadtwerke Goch GmbH,Postfach 100553,47574,Goch,https://www.stadtwerke-goch.de/stadtwerke-goch/,A,,,
Stadtwerke Görlitz AG,Demianiplatz 23,2826,Görlitz,https://www.stadtwerke-goerlitz.de/privatkunden/,A,,,
Stadtwerke Gotha GmbH,,,,,A,,,
Stadtwerke Göttingen AG,,,,,A,,,
Stadtwerke Greven GmbH,Saerbecker Str. 77-78,48268,Greven,https://www.stadtwerke-greven.de/,A,,,
Stadtwerke Grevesmühlen GmbH,Grüner Weg 26,23936,Grevesmühlen,https://www.stadtwerke-gvm.de/de/start.html,A,,,
Stadtwerke Grimma GmbH,Lange Straße 17,4668,Grimma,https://www.stadtwerke-grimma.de/,A,,,
Stadtwerke Gronau GmbH,Laubstiege 19,48599,Gronau,https://www.stadtwerke-gronau.de/startseite/,A,,,
Stadtwerke Großalmerode GmbH & Co. KG - Eine Marke der Städtische Werke AG Kassel,,,,,A,,,
Stadtwerke Groß-Gerau Versorgungs GmbH,Darmstädter Strasse 53,64521,Groß-Gerau,http://ggv-energie.de/,A,,,
Stadtwerke Grünstadt GmbH,Max-Planck-Str. 12,67269,Grünstadt,https://www.swen-gruenstadt.de/,A,,,
Stadtwerke Gunzenhausen GmbH,Nürnbergerstr. 19-21,91710,Gunzenhausen,https://www.swg-gun.de/,A,,,
Stadtwerke Güstrow GmbH,,,,,A,,,
Stadtwerke Gütersloh GmbH,Berliner Str. 260,33330,Gütersloh,https://www.stadtwerke-gt.de/,A,,,
Stadtwerke Haan GmbH,Leichlinger Straße 2,42781,Haan,https://stadtwerke-haan.de/home.html,A,,,
Stadtwerke Hagenow GmbH,Bahnhofstraße 87,19230,Hagenow,https://www.stadtwerke-hagenow.de/,A,,,
Stadtwerke Haiger,Hüttenstraße 18,35708,Haiger,https://www.stadtwerkehaiger.de/,A,,,
Stadtwerke Haldensleben GmbH,,,,,A,,,
Stadtwerke Haltern am See GmbH,,,,,A,,,
Stadtwerke Hammelburg GmbH,Rote-Kreuz-Str. 44,97762,Hammelburg,https://www.stadtwerke-hammelburg.de/leistungen-stadtwerke-hammelburg/habnet-dsl.html,RC,,,
Stadtwerke Hamm GmbH,Südring 1 - 3,59065,Hamm,https://www.stadtwerke-hamm.de/privatkunden/startseite/,A,,,
Stadtwerke Hanau GmbH,Am Freiheitsplatz,63450,Hanau,https://stadtwerke-hanau.de,R,,KlimaInvest-ÖkostromRE,
Stadtwerke Harsewinkel GmbH,Münsterstraße 8,33428,Harsewinkel,https://www.stadtwerke-harsewinkel.de/,A,,,
Stadtwerke Haslach,Alte Hausacher Str. 1,77716,Haslach,https://stadtwerke-haslach.de/,A,,,
Stadtwerke Hattingen GmbH,Weg zum Wasserwerk 23,45525,Hattingen,https://www.stadtwerke-hattingen.de/,A,,,
Stadtwerke Havelberg GmbH,,,,,A,,,
Stadtwerke Hechingen,,,,,A,,,
Stadtwerke Heide GmbH,Hinrich-Schmidt-Str. 16,25746,Heide,https://www.stadtwerke-heide.de/index.php/startseite.html,A,,,
Stadtwerke Heidelberg Energie GmbH,Kurfürsten-Anlage 50,69115,Heidelberg,https://www.swhd.de/,A,,,
Stadtwerke Heidenheim AG,Meeboldstraße 1,89522,Heidenheim,https://www.stadtwerke-heidenheim.de/,A,,,
Stadtwerke Heilbad Heiligenstadt GmbH,,,,,A,,,
Stadtwerke Heiligenhafen,Am Jachthafen 4a,23774,Heiligenhafen,https://www.stadtwerke-heiligenhafen.com,R,,RenewablePLUS,
Stadtwerke Heilsbronn,Kammereckerplatz 1,91560,Heilsbronn,https://www.heilsbronn-stadtwerke.de/,A,,,
Stadtwerke Hemau,,,,,A,,,
Stadtwerke Hemer GmbH,Wasserwerkstraße 4 ,58675,Hemer ,https://www.stadtwerke-hemer.de,A,,,
Stadtwerke Herborn GmbH,Walkmühlenweg 12,35745,Herborn,https://www.stadtwerke-herborn.de/,A,,,
Stadtwerke Herford GmbH,Werrestr. 103,32049,Herford,https://www.stadtwerke-herford.de/,A,,,
Stadtwerke Herne AG,Grenzweg 18,44623,Herne,https://www.stadtwerke-herne.de/privatkunden,A,,,
Stadtwerke Herrenberg,Stuttgarter Straße 92,71083,Herrenberg,https://stadtwerke.herrenberg.de,R,,KlimaInvest-Ökostrom,Biogas Angebot
Stadtwerke Hettstedt GmbH,,,,,A,,,
Stadtwerke Hilden GmbH,Am Feuerwehrhaus 1,40724,Hilden,https://stadtwerke-hilden.de/,A,,,
Stadtwerke Hockenheim,Obere Hauptstr. 8,68766,Hockenheim,http://www.stadtwerke-hockenheim.de/,A,,,
Stadtwerke Hollfeld,,,,,A,,,
Stadtwerke Holzminden GmbH,Rehwiese 28,37603,Holzminden,https://www.stadtwerke-holzminden.de/,A,,,
Stadtwerke Homburg GmbH,Lessingstr. 3,66424,Homburg,https://www.stadtwerke-homburg.de/startseite.html,A,,,
Stadtwerke Horb am Neckar,,,,,A,,,
Stadtwerke Hünfeld GmbH,Lindenstraße 8,36088,Hünfeld,https://www.stadtwerke-huenfeld.de/,A,,,
Stadtwerke Husum GmbH,Am Binnenhafen 1,25813,Husum,https://www.stadtwerke-husum.de/,A,,,
Stadtwerke Ilmenau GmbH,,,,,A,,,
Stadtwerke Ingolstadt Energie GmbH,,,,,A,,,
Stadtwerke Iserlohn GmbH,Stefanstr. 4-8,58638,Iserlohn,https://www.heimatversorger.de/de/Netz/,A,,,
Stadtwerke Itzehoe GmbH,Gasstraße 18,25524,Itzehoe,https://www.stadtwerke-itzehoe.de/,A,,,
Stadtwerke Jülich GmbH,An der Vogelstange 2a,52428,Jülich,https://www.stadtwerke-juelich.de/,A,,,
Stadtwerke Kaarst GmbH,Rathaus Stadt Kaarst,41564,Kaarst,http://www.stadtwerke-kaarst.de/,RC,,,
Stadtwerke Kalkar GmbH & Co. KG,,,,,A,,,
Stadtwerke Kaltenkirchen GmbH,Kamper Weg 38,24568,Kaltenkirchen,https://www.stadtwerke-kaltenkirchen.de/relaunch/index.php,A,,,
Stadtwerke Kamp-Lintfort GmbH,Wilhelmstraße 1a,47475,Kamp-Lintfort,https://www.swkl.de/,A,,,
Stadtwerke Karlsruhe GmbH,Daxlander Straße 72,76185,Karlsruhe,https://www.stadtwerke-karlsruhe.de/,A,,,
Stadtwerke Kelheim GmbH & Co. KG,Hallstattstr. 15,93309,Kelheim,https://www.stadtwerke-kelheim.de/,A,,,
Stadtwerke Kempen GmbH,,,,,A,,,
Stadtwerke Kerpen - in Kooperation mit innogy SE,,,,https://www.stadtwerke-kerpen.de/partnerschaft.html,A,Beteiligung von Innogy / RWE mit 25%,,
Stadtwerke Kiel AG,Uhlenkrog 32,24113,Kiel,https://www.stadtwerke-kiel.de/swk/de/,A,,,
Stadtwerke Kirn GmbH,,,,,A,,,
Stadtwerke Kleve GmbH,Flutstraße 36,47533,Kleve,https://www.stadtwerke-kleve.de/privatkunden,A,,,
Stadtwerke Klingenberg Kommunalunternehmen (AöR),Rathausstraße 9,63911,Klingenberg a.Main,https://stadtwerke-klingenberg.de/,A,,,Gründung der BürgerEnergieWerke Klingenberg GmbH
Stadtwerke Konstanz GmbH,Max-Stromeyerstr.21-29,78467,Konstanz,https://www.stadtwerke-konstanz.de/de/,R,,Grüner Strom,
Stadtwerke Kulmbach,,,,,A,,,
Stadtwerke Kusel GmbH,Lehnstraße 32,66869,Kusel,https://stadtwerke.kusel.de/home/,A,,,
Stadtwerke Laage GmbH,Polchower Chaussee 12,18299,Laage,https://stadtwerke-laage.de/index.html,A,,,
Stadtwerke Lage GmbH,,,,,A,,,
Stadtwerke Lambrecht (Pfalz) GmbH,Hauptstrasse 14,67466,Lambrecht,https://www.sw-lambrecht.de/,A,,,
Stadtwerke Landau a.d. Isar,,,,,A,,,
Stadtwerke Landsberg KU,Epfenhauser Straße 12,86899,Landsberg am Lech,https://www.stadtwerke-landsberg.de,R,,"Verbund, TÜV Süd",bezieht strom von der Verbund AG
Stadtwerke Landshut,,,,,A,,,
Stadtwerke Langenfeld GmbH,,,,,A,,,
Stadtwerke Langen GmbH,Weserstr. 14,63225,Langen,https://stadtwerke-langen.de/,A,,,
Stadtwerke Langenzenn,Obere Ringstrasse 17,90579,Langenzenn,https://www.stadtwerke-langenzenn.de/startseite/,A,,,
Stadtwerke Laufenburg,Hauptstraße 30,79725,Laufenburg,https://www.laufenburg.de/leben-wohnen/stadtwerke/stadtwerke-kontakt/,A,,,
Stadtwerke Lauterbach GmbH,Hinter dem Spittel 15,36341,Lauterbach,https://www.stadtwerke-lauterbach.de/,A,,,
Stadtwerke Lebach GmbH & Co. KG,,,,,A,,,
Stadtwerke Lehrte GmbH,,,,,A,,,
Stadtwerke Leinefelde-Worbis GmbH,,,,,A,,,
Stadtwerke Leine - Solling GmbH,,,,,A,,,
Stadtwerke Leinfelden-Echterdingen,Weidacher Steige 6,70771,Leinfelden-Echterdingen,http://www.stadtwerke-le.de,A,,,
Stadtwerke Leipzig GmbH,Eutritzscher Str. 17-19,4105,Leipzig,https://www.l.de/stadtwerke,A,,,
Stadtwerke Lemgo GmbH,Bruchweg 24,32657,Lemgo,https://www.stadtwerke-lemgo.de/,A,,,
Stadtwerke Lengerich GmbH,An der Mühlenbreede 4,49525,Lengerich,https://www.swl-unser-stadtwerk.de/,A,,,
Stadtwerke Leutershausen,,,,,A,,,
Stadtwerke Lichtenfels,Eichenweg 15,96215,Lichtenfels,https://www.stadtwerke-lichtenfels.de,RC,,,
Stadtwerke Lindau (B) GmbH & Co. KG,Auenstraße 12,88131,Lindau (B),https://www.sw-lindau.de/,R,,,
Stadtwerke Lingen GmbH,,,,,A,,,
Stadtwerke Lippstadt GmbH,Bunsenstraße 2,59557,Lippstadt,https://www.stadtwerke-lippstadt.com/,A,,,
Stadtwerke Löbau GmbH,Georgewitzer Strasse 54,2708,Löbau,https://www.sw-l.de/,A,,,
Stadtwerke Löffingen,Rathausplatz 1,79843,Löffingen,https://www.stadtwerke-loeffingen.de/index.php?id=562,A,,,
Stadtwerke Lohmar GmbH & Co. KG,Hauptstraße 27 -29,53797,Lohmar,https://www.stadtwerke-lohmar.de/startseite/,A,,,
Stadtwerke Loitz GmbH,Lange Straße 83,17121,Loitz,https://stadtwerke-loitz.de,RC,,,
Stadtwerke Lübbecke GmbH,Gasstraße 1,32312,Lübbecke,https://www.stadtwerke-luebbecke.de/,A,,,
Stadtwerke Lübeck GmbH,Geniner Straße 80,23560,Lübeck,https://www.swhl.de/,A,,,
Stadtwerke Lübz GmbH,,,,,A,,,
Stadtwerke Lüdenscheid GmbH,Lennestraße 2,58507,Lüdenscheid,https://www.stadtwerke-luedenscheid.de/Home.aspx,A,,,
Stadtwerke Ludwigsburg-Kornwestheim GmbH,,,,,A,,,
Stadtwerke Ludwigsfelde GmbH,Potsdamer Straße 31,14974,Ludwigsfelde,https://stadtwerke-ludwigsfelde.de/,A,,,
Stadtwerke Ludwigslust-Grabow GmbH,,,,,A,,,
Stadtwerke Lünen GmbH,,,,,A,,,
Stadtwerke Lutherstadt Eisleben GmbH,,,,,A,,,
Stadtwerke Lutherstadt Wittenberg GmbH,Lucas-Cranach-Str. 22,6886,Lutherstadt Wittenberg,https://www.stadtwerke-wittenberg.de/,A,,,
Stadtwerke Malchow,,,,,A,,,
Stadtwerke Marburg GmbH,Am Krekel 55,35039,Marburg,https://stadtwerke-marburg.de/,A,,,
Stadtwerke Meerane GmbH,Obere Bahnstr. 10,8393,Meerane,https://www.sw-meerane.de/,A,,,
Stadtwerke Meiningen GmbH,Utendorfer Straße 122,98617,Meiningen,https://www.stadtwerke-meiningen.de/,A,,,
Stadtwerke Menden GmbH,,,,,A,,,
Stadtwerke Mengen,Mittlere Straße 40,88512,Mengen,https://www.mengen.de/sw/,A,,,
Stadtwerke Merseburg GmbH,,,,,A,,,
Stadtwerke Merzig GmbH,,,,,A,,,
Stadtwerke Metzingen,Stuttgarter Straße 59,72555,Metzingen,https://www.stadtwerke-metzingen.de/willkommen,A,,,
Stadtwerke Mosbach GmbH,Am Henschelberg 6,74821,Mosbach,https://www.swm-online.de/,A,,,
Stadtwerke Mössingen,Freiherr-vom-Stein-Str. 18,72116,Mössingen,https://www.stadtwerke-moessingen.de/de/Privatkunden,A,,,
Stadtwerke Mühlacker GmbH,Danzigerstraße 13,75417,Mühlacker,https://www.stadtwerke-muehlacker.de/sw/,A,,,
Stadtwerke Mühldorf a. Inn GmbH & Co.KG,Weserstraße 4,84453,Mühldorf a. Inn,https://stadtwerke-muehldorf.de/,A,,,
Stadtwerke Mühlhausen GmbH,Windeberger Landstraße 73,99974,Mühlhausen,https://www.stadtwerke-muehlhausen.de/,A,,,
Stadtwerke Mühlheim am Main GmbH,Dietesheimer Straße 70,63165,Mühlheim,https://www.stadtwerke-muehlheim.de/,RC,,,
Stadtwerke Müllheim Staufen GmbH,Marktstraße 1-3,79379,Müllheim,https://alemannenenergie.de/,A,,OKPower plus,
Stadtwerke Munster-Bispingen GmbH,Rehrhofer Weg 127-133,29633,Munster,https://ihr-stadtwerk.de/stadtwerke.html,A,,,
Stadtwerke Münster GmbH,,,,,A,,,
Stadtwerkenergie Ostwestfalen-Lippe GmbH,Am Gelskamp 10,32758,Detmold,https://www.stadtwerke-detmold.de,A,,TÜV Nord,
Stadtwerke Nettetal GmbH,,,,,A,,,
Stadtwerke Neuburg a. d. Donau,,,,,A,,,
Stadtwerke Neuenhaus GmbH,,,,,A,,,
Stadtwerke Neuffen AG,Bahnhofstr. 32,72639,Neuffen,https://www.stadtwerke-neuffen-ag.de/,A,,,
Stadtwerke Neu-Isenburg GmbH,Schleussnerstr. 62,63263,Neu-Isenburg,https://www.swni.de/,A,,,
Stadtwerke Neumarkt in der Oberpfalz,Ingolstädter Straße 18,92318,Neumarkt i.d.Opf.,https://www.swneumarkt.de/,A,,,
Stadtwerke Neunburg vorm Wald Strom GmbH,,,,,A,,,
Stadtwerke Neuruppin GmbH,Heinrich-Rau-Str. 3,16816,Neuruppin,https://www.swn.de/start.html,A,,,
Stadtwerke Neuss Energie und Wasser GmbH,Moselstraße 25-27,41464,Neuss,https://www.stadtwerke-neuss.de/,B,"An der Stadtwerke Neuss Energie und Wasser GmbH sind die Stadtwerke Neuss mit 60,1 %, RWE mit 24,9 % und die Thüga AG mit 15 % beteiligt","TÜV NORD, watergreen",
Stadtwerke Neustadt am Rübenberge GmbH & Co. KG,Herzstr. 3,31535,Neustadt a. Rgbe.,https://www.stadtwerke-neustadt.de/sw/,A,,,
Stadtwerke Neustadt an der Aisch GmbH,Markgrafenstrasse 24,91413,Neustadt a.d. Aisch,https://www.neustadtwerke.de/,RC,,,
Stadtwerke Neustadt an der Donau,,,,,A,,,
Stadtwerke Neustadt an der Orla GmbH,Ernst-Thälmann-Straße 18,7806,Neustadt an der Orla,https://www.stadtwerke-neustadt-orla.de/,A,,,
Stadtwerke Neustadt an der Weinstraße GmbH,Schlachthofstrasse 60,67433,Neustadt an der Weinstrasse,https://www.swneustadt.de/energieanbieter/privatkunden/,A,,RenewablePLUS,
Stadtwerke Neustadt in Holstein,Ziegelhof 8,23730,Neustadt,http://www.stwnh.de/stadtwerke-neustadt-in-holstein.html,A,,,
Stadtwerke Neustrelitz GmbH,Wilhelm-Stolte-Straße 90,17235,Neustrelitz,https://www.stadtwerke-neustrelitz.de/privatkunden/,A,,,
Stadtwerke Neuwied GmbH,Hafenstraße 90,56564,Neuwied,https://www.swn-neuwied.de/swn/swn/,A,,,
Stadtwerke Niebüll GmbH,Ostring 5,25899,Niebüll,https://www.sw-nf.de/,A,,,
Stadtwerke Niederrhein - eine Marke der Stadtwerke Goch GmbH,,,,,A,,,
Stadtwerke Niesky GmbH,,,,,A,,,
Stadtwerke Norden,Feldstr. 10,26506,Norden,https://www.stadtwerke-norden.de/,A,,,
Stadtwerke Norderney GmbH,Jann-Berghausstraße 34,26548,Norderney,https://stadtwerke-norderney.de/,A,,,
Stadtwerke Norderstedt,Heidbergstr. 101-111,22846,Norderstedt,https://www.stadtwerke-norderstedt.de/,A,,,
Stadtwerke Nordfriesland,,,,https://www.sw-nf.de,A,,,
Stadtwerke Nortorf AöR,Poststr. 21,24589,Nortorf / Holstein,https://www.stadtwerke-nortorf.de/index.php/startseite.html,A,,,
Stadtwerke Nürtingen GmbH,Porschestraße 5-9,72622,Nürtingen,https://sw-nuertingen.de/startseite/,A,,,
Stadtwerke Oberkirch GmbH,Appenweierer Str. 54,77704,Oberkirch,https://www.stadtwerke-oberkirch.de/,A,,,
Stadtwerke Oberriexingen GmbH,,,,,A,,,
Stadtwerke Oberursel (Taunus) GmbH,,,,,A,,,
Stadtwerke Ochtrup,,,,,A,,,
Stadtwerke OELSNITZ/V. GmbH,,,,,A,,,
Stadtwerke Oerlinghausen GmbH,,,,,A,,,
Stadtwerke Olbernhau GmbH,,,,,A,,,
Stadtwerke Olching GmbH,Ilzweg 1,82140,Olching,https://stadtwerke-olching.de/,RC,,,
Stadtwerke Oldenburg in Holstein GmbH,Markt 1,23758,Oldenburg in Holstein,https://www.swo-holstein.de,R,,RenewablePLUS,
Stadtwerke Oranienburg GmbH,Klagenfurter Str. 41,16515,Oranienburg,https://stadtwerke-oranienburg.de/,A,,,
Stadtwerke Osnabrück AG,Alte Poststraße 9,49074,Osnabrück,https://www.stadtwerke-osnabrueck.de/privatkunden.html,A,,,
Stadtwerke Ostmünsterland GmbH & Co. KG,,,,,A,,,
Stadtwerke Overath Energie GmbH,Hauptstrasse 77,51491,Overath,https://o-saft24.de/,R,,RenewablePLUS,kaum informationen über stadtwerke-overath
Stadtwerke Paderborn GmbH,Rolandsweg 80,33102,Paderborn,https://www.stadtwerke-pb.de,RC,,,
Stadtwerke Pappenheim,,,,,A,,,
Stadtwerke Parchim GmbH,,,,,A,,,
Stadtwerke Pasewalk GmbH,,,,,A,,,
Stadtwerke Passau GmbH,Regensburger Straße 29,94036,Passau,https://www.stadtwerke-passau.de/,A,,,
Stadtwerke Peine GmbH,Woltorfer Str. 64,31224,Peine,https://www.stadtwerke-peine.de/stadtwerke-peine/,A,,,
Stadtwerke Pfaffenhofen a. d. Ilm,Michael-Weingartner-Straße 11,85276,Pfaffenhofen a. d. Ilm,https://www.stadtwerke-pfaffenhofen.de/,A,,,Ökostromtarif ohne EEG Anteil
Stadtwerke Pfarrkirchen,Äußere-Simbacher-Str. 7,84347,Pfarrkirchen,https://www.swpan.de/home/,A,,,
Stadtwerke Pfullendorf GmbH,Bahnhofstr. 6,88630,Pfullendorf,https://pfullendorf.de/stadtwerke/,A,,,
Stadtwerke Pinneberg GmbH,Am Hafen 67,25421,Pinneberg,https://www.stadtwerke-pinneberg.de/,A,,,
Stadtwerke Pirmasens Versorgungs GmbH,An der Streckbrücke 4,66954,Pirmasens,https://www.stadtwerke-pirmasens.de/,A,,,
Stadtwerke Plattling,,,,,A,,,
Stadtwerke Plön Versorgung GmbH,Lübecker Str. 20,24306,Plön,https://stadtwerke-ploen.de/,A,,OKPower?,
Stadtwerke Porta Westfalica GmbH,,,,,A,,,
Stadtwerke Prenzlau GmbH,Freyschmidtstraße 20,17291,Prenzlau,https://www.stadtwerke-prenzlau.de/,A,,,
Stadtwerke Pritzwalk GmbH,Gartenstraße 8,16928,Pritzwalk,https://www.sw-pritzwalk.de/,A,,,
Stadtwerke Pulheim GmbH,Christianstraße 39,50259,Pulheim,https://www.stadtwerke-pulheim.de/index.php?id=255&no_cache=1,A,,,
Stadtwerke Quedlinburg GmbH,Rathenaustr. 9,6484,Quedlinburg,https://www.stadtwerke-quedlinburg.de/,A,,,
Stadtwerke Quickborn GmbH,Pinneberger Str. 2,25451,Quickborn,https://www.stadtwerke-quickborn.de/,A,,,
Stadtwerke Radevormwald GmbH,,,,,A,,,
Stadtwerke Radolfzell GmbH,Untertorstraße 7-9,78315,Radolfzell,https://www.stadtwerke-radolfzell.de,A,,,
Stadtwerke Ramstein-Miesenbach GmbH,Am Neuen Markt 8,66877,Ramstein-Miesenbach,https://www.stadtwerke-ramstein.de,A,,,
Stadtwerke Rastatt GmbH,Markgrafenstraße 7,76437,Rastatt,https://www.stadtwerke-rastatt.de,A,,,
Stadtwerke Ratingen GmbH,Sandstr.36,40878,Ratingen,Stadtwerke Ratingen GmbH,A,,,
Stadtwerke Rees GmbH,,,,,A,,,
Stadtwerke Reichenbach/Vogtland GmbH,Roßplatz 13,8468,Reichenbach,https://www.swrc.de,A,,,
Stadtwerke Rendsburg GmbH,Am Eiland 12,24768,Rendsburg,https://www.stadtwerke-rendsburg.de,A,,,
Stadtwerke Rhede GmbH,,,,,A,,,
Stadtwerke Riesa GmbH,,,,,A,,,
Stadtwerke Rietberg-Langenberg GmbH,,,,,A,,,
Stadtwerke Rinteln GmbH,Bahnhofsweg 6,31737,Rinteln,https://www.stadtwerke-rinteln.de/,A,,,
Stadtwerke Rosenheim Versorgungs GmbH,Bayerstraße 5,83022,Rosenheim,https://www.swro.de,A,,,
StadtWerke Rösrath - Energie GmbH,,,,,R,,OKPower,Beteiligung von STAWAG (Anteil 49 %)- STAWAG verkauft Kohle- und Atomstrom
Stadtwerke Rostock AG,Schmarler Damm 5,18069,Rostock,https://www.swrag.de,A,,,
Stadtwerke Rotenburg (Wümme) GmbH,Mittelweg 19,27356,Rotenburg (Wümme),http://www.stadtwerke-rotenburg.de,A,,,
Stadtwerke Roth,Sandgasse 23,91154,Roth,https://stadtwerke-roth.de,A,,,
Stadtwerke Röthenbach a. d. Pegnitz GmbH,,,,,A,,,
Stadtwerke Rothenburg o.d.T. GmbH,Steinweg 25,91541,Rothenburg o.T.,https://www.stadtwerke-rothenburg.de,A,,,
Stadtwerke Rottenburg am Neckar GmbH,Siebenlindenstraße 19,72108,Rottenburg am Neckar,https://www.sw-rottenburg.de,R,,,Bioerdgas
Stadtwerke Saalfeld GmbH,Remschützer Str. 42,7318,Saalfeld,https://www.stadtwerke-saalfeld.de,A,,,
Stadtwerke Saarlouis GmbH,,,,,A,,,
Stadtwerke Sangerhausen GmbH,,,,,A,,,
Stadtwerke Schaumburg-Lippe GmbH,An der Gasanstalt 6,31675,Bückeburg,https://www.stadtwerke-schaumburg-lippe.de,A,,,
Stadtwerke Scheinfeld,Karl-Lax-Str. 1,91443,Scheinfeld,https://www.stw-scheinfeld.de,A,,,
Stadtwerke Schifferstadt,Mühlstraße 18,67105,Schifferstadt,https://www.sw-schifferstadt.de,A,,,
Stadtwerke Schkeuditz GmbH,Edisonstr. 36,4435,Schkeuditz,https://www.stadtwerke-schkeuditz.de,A,,,
Stadtwerke Schlitz,An der Kirche 4,36110,Schlitz,http://www.stadtwerke-schlitz.de,A,,,
Stadtwerke Schloß Holte-Stukenbrock,,,,,A,,,
Stadtwerke Schneeberg GmbH,,,,,A,,,
Stadtwerke Schneverdingen-Neuenkirchen GmbH,Harburgerstr 21,29640,Schneverdingen,https://www.heidjers-stadtwerke.de,A,,,
Stadtwerke Schönebeck GmbH,,,,,A,,,
Stadtwerke Schorndorf GmbH,Augustenstraße 7,73614,Schorndorf,https://www.stadtwerke-schorndorf.de,A,,,
Stadtwerke Schramberg GmbH & Co. KG,Gustav-Maier-Straße 11,78713,Schramberg,https://www.stadtwerke-schramberg.de,A,,,
Stadtwerke Schüttorf-Emsbüren GmbH,Quendorfer Straße 34,48465,Schüttorf,https://www.swse.de,A,,,
Stadtwerke Schwabach GmbH,Ansbacher Straße.14,91126,Schwabach,https://www.stadtwerke-schwabach.de,A,,,
Stadtwerke Schwäbisch Gmünd GmbH,Bürgerstraße 5,73525,Schwäbisch Gmünd,https://www.stwgd.de,A,,,
Stadtwerke Schwäbisch Hall GmbH,An der Limpurgbrücke 1,74523,Schwäbisch Hall,https://www.stadtwerke-hall.de,A,,,
Stadtwerke Schwarzenberg GmbH,,,,,A,,,
Stadtwerke Schwedt GmbH,Heinersdorfer Damm 55 - 57,16303,Schwedt/Oder,https://stadtwerke-schwedt.de,A,,,
Stadtwerke Schweinfurt GmbH,,,,,A,,,
Stadtwerke Schwentinental GmbH,Seebrooksberg 1,24222,Schwentinental,https://www.stadtwerke-schwentinental.de,A,,,
Stadtwerke Schwerin GmbH (SWS),Eckdrift 43-45,19061,Schwerin,https://stadtwerke-schwerin.de,A,,,
