Andere Liste,Firmenname,Kennzeichnung Link,Anmerkungen,Adresse,PLZ,Stadt,URL,RoWo-Kriterien,A,B,C,D,R,X,Eigene Anlagen/Anteile an Anlagen,Zertifizierung? (ein oder mehrer Tarife),Stromkennzeichung fehlt,Bemerkung
,Stadtwerke Bad Brückenau GmbH,http://www.stadtwerke-bad-brueckenau.de/badbrueckenauGips/Gips?Anwendung=CMSWebpage&Methode=ShowHTMLAusgabe&SessionMandant=BadBrueckenau&RessourceID=&Schluessel=Volltextsuche&WebPublisher.NavId=629&VolltextZielverzeichnisId=9f3f50c7ed5b1cf97ac5e7a299b571d806d1fc559e15add87df8ac9d1e283ece&suche=Suche&VolltextSuchbegriff=stromkennzeichnung,nicht aktuell,Sinnaustr. 14,97769,Bad Brückenau,http://www.stadtwerke-bad-brueckenau.de/de/Fussnavigation/Impressum/,A,X,,,,X,,,FirstClimate-Naturstrom Wasser und Wald,,
,Stadtwerke Bad Dürkheim GmbH,http://www.sw-duerkheim.de/images/Strom/stromkennzeichnung_2018.pdf,,Salinenstrasse 36,67098,Bad Dürkheim,http://sw-duerkheim.de/,A,,,X,,,,,,,
,Stadtwerke Baden-Baden,https://www.stadtwerke-baden-baden.de/produkte/Strom/strom.php,,,,,,A,X,,,,,,,,,
,Stadtwerke Bad Friedrichshall,http://www.friedrichshall.de/content1.asp?area=hauptmenue&site=stromversorgung&cls=01,,Saline 1,74177,Bad Friedrichshall,http://www.bad-friedrichshall.de/content1.asp?site=bfhallgemeines&cls=01,A,X,,,,X,,,,,
,Stadtwerke Bad Harzburg GmbH,https://www.stadtwerke-bad-harzburg.de/de/Strom/Stromkennzeichnung/,,,,,,A,X,,,,,,,,,
,Stadtwerke Bad Herrenalb GmbH,http://www.gipsprojekt.de/featureGips/Gips?SessionMandant=swbadherrenalb&Anwendung=EnWGKnotenAnzeigen&PrimaryId=4374&Mandantkuerzel=swbadherrenalb&Navigation=J,,Bahnhofstr. 12,76332,Bad Herrenalb,https://www.stw-badherrenalb.de/,A,X,?,?,?,,,,,,über Tühga und Ruhrgas mit e.on verbunden
,Stadtwerke Bad Hersfeld GmbH,https://www.stadtwerke-hef.de/de/Strom/Stromkennzeichnung/,,Kleine Industriestrasse 1,36251,Bad Hersfeld,https://www.stadtwerke-hef.de/,B,,X,,,X,,,,,
,Stadtwerke Bad Kissingen GmbH,https://www.stwkiss.de/strom-bad-kissingen,,Würzburger Straße 5,97688,Bad Kissingen,https://www.stwkiss.de/,A,X,,,,X,,,,,
,Stadtwerke Bad Langensalza GmbH,https://www.swl-badlangensalza.de/strom/produkte-und-preise/stromkennzeichnung/,,Illebener Weg 11a,99947,Bad Langensalza,https://www.swl-badlangensalza.de/,A,X,,,,X,,,,,
,Stadtwerke Bad Nauheim GmbH,https://www.stadtwerke-bad-nauheim.de/energieprodukte/stromanbieter.html,,Hohe Straße 14-18,61231,Bad Nauheim,https://www.stadtwerke-bad-nauheim.de/,A,X,,,,X,,,,,
,Stadtwerke Bad Neustadt a.d. Saale,https://www.stw-badnes.de/badneustadtGips/BadNeustadt/stw-badnes.de/Strom/Stromkennzeichnung/Stromkennzeichnung/Stromkennzeichnung-25.10.2018.pdf,,Goethestr. 17/19,97616,Bad Neustadt,https://www.stw-badnes.de/,A,X,,,,X,,,,,
,Stadtwerke Bad Pyrmont Energie & Verkehrs GmbH,https://www.stadtwerke-bad-pyrmont.de/leistungen/strom/informationen/stromkennzeichnungen/stromkennzeichnung_2016.htm,nicht aktuell,Südstrasse 3,31812,Bad Pyrmont,https://www.stadtwerke-bad-pyrmont.de/,A,X,,,,X,,,,,
,Stadtwerke Bad Reichenhall KU,https://www.stadtwerke-bad-reichenhall.de/de/veroeffentlichungen/veroeffentlichungen-strom/,,Hallgrafenstraße 2,83435,Bad Reichenhall,https://www.stadtwerke-bad-reichenhall.de/index.php/home/?lang=de&node=home,A,X,,,,X,,,,,
,Stadtwerke Bad Rodach,https://www.bad-rodach.de/files/stromkennzeichnung_zusammengestellt_stw_2018.pdf,,,,,,A,X,,,,,,,,,
,Stadtwerke Bad Sachsa GmbH,https://www.stwbadsachsa.de/zusammensetzung-energiemix.html,,Feldstraße 10,37441,Bad Sachsa,https://www.stwbadsachsa.de/home.html,A,X,,,,X,,,,,
,Stadtwerke Bad Säckingen GmbH,https://www.sws-energie.de/sws-energie/downloadcenter/index.php,,Schulhausstraße 40,79713,Bad Säckingen,https://www.sws-energie.de/sws-energie/unternehmen/ansprechpartner.php,A,X,,,,X,,,,,
,Stadtwerke Bad Salzuflen GmbH,https://www.stwbs.de/fileadmin/PDFs/Strom/Stromkennzeichung_2017.pdf,,Uferstr. 36-44,32108,Bad Salzuflen,https://www.stwbs.de/,A,X,,,,X,,,,,
,Stadtwerke Bad Saulgau,https://www.bad-saulgau.de/stadtwerke/energie-wasser/strom/stromkennzeichnung/index.php,,Moosheimer Straße 28,88348,Bad Saulgau,https://www.bad-saulgau.de/stadtwerke/,A,X,,,,X,,,,,
,Stadtwerke Bad Sooden-Allendorf,https://stadtwerke-bsa.de/stadtwerke/strom-vertrieb/stromkennzeichnung,,Werrastrasse 24,37242,Bad Sooden-Allendorf,https://stadtwerke-bsa.de/stadtwerke/home,A,X,,,,X,,,,,
,Stadtwerke Bad Tölz GmbH,https://stw-toelz.de/fileadmin/Bilder/Strom/PDF/2018_NEU_Stromkennzeichnung_Stadtwerke_Bad_Toelz.pdf,,An der Osterleite 2,83646,Bad Tölz,https://stw-toelz.de/,R,,,,,,,X,,,Ökogas
,Stadtwerke Bad Vilbel GmbH,https://www.sw-bv.de/strom/,,Theodor-Heuss-Str. 53-63,61118,Bad Vilbel-Dortelweil,https://www.sw-bv.de/,A,X,,,,X,,,,,
,Stadtwerke Bad Wildbad GmbH & Co. KG,https://www.stadtwerke-bad-wildbad.de/strom/stromkennzeichnung.html,,Ladestr. 5,75323,Bad Wildbad,https://www.stadtwerke-bad-wildbad.de/,A,X,,,,X,,,,,
,Stadtwerke Bad Windsheim,https://www.sw-bw.de/strom/dokumente/,,Vorm Rothenburger Tor 2,91438,Bad Windsheim,https://www.sw-bw.de/startseite/,A,X,,,,X,,,,,
,Stadtwerke Bad Wörishofen,https://www.swbw.de/alles-ueber-strom/stromkennzeichnung/,,Stadionring 18,86825,Bad Wörishofen,https://www.swbw.de/,A,X,,,,X,,,,,
,Stadtwerke Balingen,https://www.stadtwerke.balingen.de/de/Energie-Wasser/Strom/Strom/20181023-SWBalingen-Stromkennzeichnung-2017-WEB.pdf,,Wasserwiesen 37,72336,Balingen,https://www.stadtwerke.balingen.de/,A,X,,,,X,,,,,
True,Stadtwerke Balve GmbH Vertriebs- und Servicegesellschaft,,,,,,https://www.stadtwerke-balve.de,?,,,,,,,,,,keinerlei Informationen über Stromangebot
,Stadtwerke Bamberg Energie- und Wasserversorgungs GmbH,https://www.stadtwerke-bamberg.de/strommix,,Margaretendamm 28,96052,Bamberg,https://www.stadtwerke-bamberg.de/,A,X,,,,X,,,,,
,Stadtwerke Barmstedt,https://stadtwerke-barmstedt.de/energie-wasser/oekostrom/strommix/,,Bahnhofstr. 27,25355,Barmstedt,https://stadtwerke-barmstedt.de/privatkunden/,A,X,,,,X,,,,,
,Stadtwerke Barmstedt Xtra GmbH,https://stadtwerke-barmstedt.de/energie-wasser/oekostrom/strommix/,,Bahnhofstr. 27,25355,Barmstedt,https://stadtwerke-barmstedt.de/privatkunden/,A,X,,,,X,,,,,
,Stadtwerke Barsinghausen GmbH,https://www.stadtwerke-barsinghausen.de/produkte/baschestrom/das-produkt/strommix/,,,,,,A,X,,,,,,,,,
,Stadtwerke Barth GmbH,https://www.stadtwerke-barth.de/stromkennzeichnung.html,nicht aktuell,Louis-Fürnberg-Strasse 3,18356,Barth,https://www.stadtwerke-barth.de/,A,X,,,,X,,,,,
,Stadtwerke Bayreuth Energie und Wasser GmbH,https://www.stadtwerke-bayreuth.de/energie-wasser/strom/grundversorgung-strom/,,Birkenstraße 2,95447,Bayreuth,https://www.stadtwerke-bayreuth.de/,A,X,,,,,,,TÜV Nord,,
,Stadtwerke Bebra GmbH,https://www.stadtwerke-bebra.de/index.php/vertrieb/stromkennzeichnung,nicht aktuell,Wiesenweg 1,36179,Bebra,https://www.stadtwerke-bebra.de/,A,X,,?,,,,,,,
,Stadtwerke Bernau GmbH,https://www.stadtwerke-bernau.de/service/gut-zu-wissen/download-center.html,,Breitscheidstraße 45,16321,Bernau bei Berlin,https://www.stadtwerke-bernau.de/,A,X,,,,X,,,,,
,Stadtwerke Bernburg GmbH,https://www.stadtwerke-bernburg.de/privatkunden/strom/tarife.html?file=files/downloads/pdf_privat_geschaeftskunden/Rechtsvorschriften/Stromkennzeichnung_2017.pdf&cid=3370,,,,,,A,X,,,,,,,,,
,Stadtwerke Bexbach GmbH,http://www.stadtwerke-bexbach.de/de/Strom/Stromkennzeichnung/Stromkennzeichnung/Stromkennzeichnung-2018.pdf,,Kolpingstraße 83,66450,Bexbach,http://www.stadtwerke-bexbach.de/,A,X,,,,X,,,,,
,Stadtwerke Bielefeld GmbH,https://www.stadtwerke-bielefeld.de/privatkunden/tarife/strom/enerbest-strom-in-nrw.html,,Schildescher Str. 16,33611,Bielefeld,https://www.stadtwerke-bielefeld.de/,A,X,,,,X,,,,,
,Stadtwerke Bietigheim-Bissingen GmbH,https://www.sw-bb.de/wir-fuer-sie/kundenservice/kundeninformation/strom/stromkennzeichnung/#c186,,Rötestr. 8,74321,Bietigheim-Bissingen,https://www.sw-bb.de/,A,X,,,,X,,,,,
,Stadtwerke Bitterfeld-Wolfen GmbH,https://sw-bitterfeld-wolfen.de/wp-content/uploads/Preisliste_Basis_Tarif_Strom_Haushalt_20181.pdf,nicht aktuell,,,,,A,X,,,,,,,,,
,Stadtwerke Blankenburg GmbH,https://www.sw-blankenburg.de/strom/stromkennzeichnung/,,Börnecker Straße 6,38889,Blankenburg,https://www.sw-blankenburg.de/,A,X,,,,X,,,,,
,Stadtwerke Bliestal GmbH,https://www.stadtwerke-bliestal.de/no_cache/de/privatkunden/strom/kundenvorteile/stromkennzeichnung/?sword_list%5B0%5D=stromkennzeichnung,nicht aktuell,Bliesgaustraße 13,66440,Blieskastel,https://www.stadtwerke-bliestal.de/privatkunden/startseite/,A,X,,,,X,,,,,
,Stadtwerke Böblingen GmbH & Co. KG,https://www.stadtwerke-boeblingen.de/angebote-leistungen/service/faq.html#faq-strom,,Wolfgang-Brumme-Allee 32,71032,Böblingen,https://www.stadtwerke-boeblingen.de/,A,X,,,,X,,,,,
,Stadtwerke Bochum GmbH,https://www.stadtwerke-bochum.de/privatkunden/produkte/strom/agb_strominfos/stromkennzeichnung.html,,Ostring 28,44787,Bochum,https://www.stadtwerke-bochum.de/privatkunden.html,A,X,,,,X,,,,,
,Stadtwerke Bogen GmbH,https://www.stadtwerke-bogen.de/strom/stromkennzeichnung/,,Agendorfer Straße 19,94327,Bogen,https://www.stadtwerke-bogen.de/,A,X,,,,X,,,,,
,Stadtwerke Böhmetal GmbH,https://www.swbt.de/Privatkunden/Strom/Grundversorgung?&La=1,,,,,,A,X,,,,,,,,,
,Stadtwerke Borken/Westfalen GmbH,https://www.stadtwerke-borken.de/angebote/strom/strommix/,,,,,,A,X,,,,,,,,,
,Stadtwerke Bramsche GmbH,https://www.stadtwerke-bramsche.de/de/Privatkunden/Strom/Preise/Stromkennzeichnung,Irreführende Beschreibung,,,,,A,X,,,,,,,,,
,Stadtwerke Brandenburg an der Havel GmbH & Co. KG,https://www.stwb.de/KUNDEN/Service/Verbraucherinformation/Stromkennzeichnung,,Packhofstraße 31,14776,Brandenburg an der Havel,https://www.stwb.de/,A,X,,,,X,,,,,
,Stadtwerke Bredstedt GmbH,https://www.stadtwerke-bredstedt.de/strom/energietraegermix/,FEHLER Kohle und sonstige Fossile zusammengefasst,Markt 3,25821,Bredstedt,https://www.sw-nf.de/,A,X,,,,,,,,,
,Stadtwerke Bretten GmbH,https://www.kraichgau-energie.de/privatkunden/strom/privatstrom-komfort/,nicht aktuell,Pforzheimer Str. 80-84,75015,Bretten,https://www.stadtwerke-bretten.de/,A,X,,,,X,,,,,
,Stadtwerke Brilon Energie GmbH,https://www.stadtwerke-brilon.de/wp-content/uploads/2018/10/Stromkennzeichnung_SLP.pdf,FEHLER Deutschland-Mix,,,,,A,X,,,,,,,,,
,Stadtwerke Brühl GmbH,https://www.stadtwerke-bruehl.de/energie/bruehlstrom/stromkennzeichnung/,,Engeldorfer Straße 2,50321,Brühl,https://www.stadtwerke-bruehl.de/,A,X,,,,X,,,,x,
,Stadtwerke Brunsbüttel GmbH,https://www.stadtwerke-brunsbuettel.de/,,Eddelaker Straße 123 d,25541,Brunsbüttel,https://www.stadtwerke-brunsbuettel.de/de/,A,X,,,,X,,,,,
,Stadtwerke Buchen GmbH & Co KG,https://www.stadtwerke-buchen.de/jdownloads/Strom/2018_11_06%20Stromkennzeichnung%20Ver%20ffentlichung%20Internet.pdf,,Am Hohen Markstein 3,74722,Buchen/Odenwald,https://www.stadtwerke-buchen.de/,A,X,,,,X,,,,,
,Stadtwerke Buchholz in der Nordheide GmbH,https://buchholz-stadtwerke.de/stromkennzeichnung.html,,Maurerstraße 10,21244,Buchholz i.d.N.,https://buchholz-stadtwerke.de/startseite.html,A,X,,,,X,,,,,
,Stadtwerke Bühl GmbH,https://www.stadtwerke-buehl.de/de/Privatkunden/Strom/Stromkennzeichnung,,Siemensstr. 5,77815,Bühl,https://www.stadtwerke-buehl.de/de/Privatkunden,A,X,,,,X,,,,,
,Stadtwerke Burgbernheim,https://www.burgbernheim.de/stadtwerke.burgbernheim.de/Stromvertrieb/Stromkennzeichnung/K360.htm,FEHLER Kohle und sonstige Fossile zusammengefasst,,,,,A,X,,,,,,,,,
,Stadtwerke Burgdorf GmbH,https://www.stadtwerke-burgdorf.de/,nicht vorhanden,Vor dem Hannoverschen Tor 12,31303,Burgdorf,https://www.stadtwerke-burgdorf.de/,A,X,,,,X,,,,,
,Stadtwerke Burg GmbH,https://stadtwerke-burg.de/strom/,FEHLER fehlerhafte Kennzeichnung,Schartauer Straße 58a,39288,Burg,https://stadtwerke-burg.de/,A,X,,,,X,,,,,
,Stadtwerke Buxtehude GmbH,https://www.stadtwerke-buxtehude.de/leistungen/preise,FEHLER kein Unternehmensmix,Ziegelkamp 8,21614,Buxtehude,https://www.stadtwerke-buxtehude.de/kontakt-service,A,X,,X,,,,,KlimaInvest-ÖkostromRE,x,
,Stadtwerke Castrop-Rauxel GmbH,https://www.swcas.de/oekostrom/stromherkunft/stromkennzeichnung/,,Lönsstrasse 12,44575,Castrop-Rauxel,https://www.swcas.de/,RC,,,?,,,,,,,
,Stadtwerke Celle GmbH,https://stadtwerke-celle.de/strom/,,Magnusstraße 2,29221,Celle,https://stadtwerke-celle.de/,RC,,,,,,,,KlimaInvest-Ökostrom,,
,Stadtwerke Cham GmbH,https://www.stadtwerkecham.de/strom/vertrieb.html,nicht aktuell,,,,,A,X,,,,,,,,,
,Stadtwerke Clausthal-Zellerfeld GmbH,http://www.stadtwerke-clausthal.de/,nicht vorhanden,Robert-Koch-Str. 5,38678,Clausthal-Zellerfeld,https://www.stadtwerke-clausthal.de/de/Home/Impressum/,A,X,,,,,,,,,
,Stadtwerke Coesfeld GmbH,https://www.stadtwerke-coesfeld.de/privatkunden/strom/strommix/,,,,,,A,X,,,,,,,,,
,Stadtwerke Cottbus GmbH,https://www.stadtwerke-cottbus.de/de/privatkunden/themen/produkt-center/strom/stromkennzeichnung.html,nicht aktuell,Karl-Liebknecht-Straße 130,3046,Cottbus,https://www.stadtwerke-cottbus.de/,A,X,,,,X,,,,,
,Stadtwerke Crailsheim GmbH,https://www.stw-crailsheim.de/stadtwerke-crailsheim/privatkunden/strom/stromkennzeichnung.html,FEHLER mit EEG,Fr.-Bergius-Str. 10 - 14,74564,Crailsheim,http://www.stw-crailsheim.de/,A,X,,,,X,,,,,
,Stadtwerke Dachau,https://www.stadtwerke-dachau.de/strom/strommix.html,,Brunngartenstr. 3,85221,Dachau,https://www.stadtwerke-dachau.de/kontakt.html,A,X,,,,X,,,,,
,Stadtwerke Deggendorf GmbH,http://www.stadtwerke-deggendorf.de/strom/stromkennzeichnung/,,Graflinger Straße 36,94469,Deggendorf,https://www.stadtwerke-deggendorf.de/,A,X,,,,X,,,,,
,Stadtwerke Deidesheim GmbH,https://www.stadtwerke-deidesheim.de/swd-wAssets/docs/Produkte/Strom/Kennzeichnung-der-Stromlieferungen-2017.pdf,,Im Kathrinenbild 5,67146,Deidesheim,https://www.stadtwerke-deidesheim.de/,R,,,,,,,,RenewablePLUS,,
,Stadtwerke Delitzsch GmbH,https://www.sw-delitzsch.de/privatkunden/service/rechtliches/energiemix/,,,,,,A,X,,,,,,,,,
,Stadtwerke Delmenhorst GmbH,https://www.stadtwerkegruppe-del.de/fileadmin/Dateien-Marketing/1_Versorgung/2_Strom/Stromkennzeichnung_2017.pdf,,Fischstrasse 32-34,27749,Delmenhorst,https://www.stadtwerkegruppe-del.de,R,,,?,,,,,FirstClimate-Naturstrom Wasser und Wald,,
,Stadtwerke Detmold GmbH,https://www.stadtwerke-detmold.de/Strom/Energiemix/,,Am Gelskamp 10,32758,Detmold,https://www.stadtwerke-detmold.de/,B,Innogy 12.45%,,X,,,,,TÜV Nord,,
,Stadtwerke Dettelbach,https://www.dettelbach.de/sites/gensite.asp?SID=cms2611201815561628107272&Art=0621:627:633,,Luitpold-Baumann-Str. 1,97337,Dettelbach,https://www.dettelbach.de/sites/gensite.asp?SID=cms1408201921145925519776&Art=02&WB=1,A,X,,,,X,,,,,
,Stadtwerke Diez GmbH,https://www.stadtwerke-diez.de/strom/stromkennzeichnung.html,FEHLER Umweltbelastungen,,,,,A,X,,,,,,,,,
,Stadtwerke Dillingen/Saar GmbH,https://www.swd-saar.de/strom/zusaetzliche-infos/,,,,,,A,X,,,,,,,,,
,Stadtwerke Dingolfing GmbH,https://www.stadtwerke-dingolfing.de/upload/strom/strom_vertrieb/Energiemix%202017%20Teil%201.pdf,,,,,,A,X,,,,,,,,,
,Stadtwerke Dinkelsbühl,https://www.sw-dinkelsbuehl.de/de/netze/strom/veroeffentlichungspflichten/grund-und-ersatzversorgung.html,,,,,,A,X,,,,,,,,,
,Stadtwerke Dinslaken GmbH,https://www.stadtwerke-dinslaken.de/privatkunden/strom/uebersicht/weitere-produkte-und-informationen/stromkennzeichnzeichnung.html#pane-22,,Gerhard-Malina-Strasse 1,46537,Dinslaken,https://www.stadtwerke-dinslaken.de/privatkunden/startseite.html,A,X,,,,X,,,,,
,Stadtwerke Ditzingen GmbH & Co. KG,https://www.sw-ditzingen.de/privatkunden/strom/kennzeichnung/,nicht aktuell,Bauernstraße 76/1,71254,Ditzingen,https://www.sw-ditzingen.de/,A,X,,,,X,,,,,
,Stadtwerke Döbeln GmbH,https://www.stadtwerke-doebeln.de/Stromkennzeichnung::57,,Rosa-Luxemburg-Str. 9,4720,Döbeln,https://www.stadtwerke-doebeln.de/,A,X,,,,X,,,,,
,Stadtwerke Dorfen GmbH,https://www.stadtwerke-dorfen.de/produkte/strom/tarife#t-s-privat-gewerbe,nicht aktuell,,,,,A,X,,,,,,,,,
,Stadtwerke Dreieich GmbH,https://www.stadtwerke-dreieich.de/produkte/strom/stromkennzeichnung/?caba6d5024314290398a946348a0c011=CqZJ5gHRS8LDsdGUD4QJK0,,,,,,A,X,,,,,,,,,
,Stadtwerke Duisburg AG,https://www.stadtwerke-duisburg.de/fileadmin/user_upload/Tarifdaten/Strom/Stromkennzeichnung_2018_November.pdf,,Bungertstr. 27,47053,Duisburg,https://www.stadtwerke-duisburg.de/,A,X,,,,X,,,,,
,Stadtwerke Dülmen GmbH,https://www.stadtwerke-duelmen.de/privatkunden/strom/,,,,,,A,X,,,,,,,,,
,Stadtwerke Düren GmbH,https://www.stadtwerke-dueren.de/privatkunden/produkte/strom/unser-strommix/,nicht aktuell,Arnoldsweilerstr. 60,52351,Düren,https://www.stadtwerke-dueren.de/corporate/karriere/,A,X,,,,X,,,,,
,Stadtwerke Düsseldorf AG,https://www.swd-ag.de/medien/dokumente/vertragsbestaetigungen/stromkennzeichnung.pdf,,Höherweg 100,40233,Düsseldorf,https://www.swd-ag.de/,A,X,,,,X,,,,,
,Stadtwerke Eberbach,http://www.stadtwerke-eberbach.de/strom.html,,,,,,A,X,,,,,,,,,
,Stadtwerke Ebermannstadt Versorgungsbetriebe GmbH,https://www.stadtwerke-ebermannstadt.de/ebermannstadtGips/Ebermannstadt/stadtwerke-ebermannstadt2.de/Strom/Tarife-Netzgebiet-Bayernwerk-/Preise-und-Antraege-Netzgebiet-Bayernwerk/Stromkennzeichnung.pdf#search=stromkennzeichnung,,Forchheimer Straße 29,91320,Ebermannstadt,https://www.stadtwerke-ebermannstadt.de/de/Fussnavigation/Impressum/,A,X,,,,,,,,,
,Stadtwerke Eckernförde GmbH,https://www.stadtwerke-eckernfoerde.de/index.php/strom.html,,Bormbrook 1,24340,Eckernförde,https://www.stadtwerke-eckernfoerde.de/index.php/unternehmen.html,A,X,,,,X,,,,,
,Stadtwerke Eichstätt Versorgungs-GmbH,https://www.stadtwerke-eichstaett.de/strom/stromkennzeichnung/,,,,,,A,X,,,,,,,,,
,Stadtwerke Eilenburg GmbH,https://www.eilenburger-stadtwerke.de/privatkunden/strom/veroeffentlichungsdaten,nicht aktuell,,,,,A,X,,,,,,,,,
,Stadtwerke Einbeck GmbH,https://www.stadtwerke-einbeck.de/strom/stromkennzeichnung/,,Grimsehlstraße 17,37574,Einbeck,https://www.stadtwerke-einbeck.de/,A,X,,,,X,,,,,
,Stadtwerke Eisenberg Energie GmbH,https://portal.stadtwerke-eisenberg.de/Strom-Mix-cbdzasFAFzqEAAAAE1j24OvEOF-SWE-SWEPortal-Site-WFS-de_DE-EUR%3Bsid=L73_iCZud7nDLndnknfmQ46uRhlt8k_Kvcc=,,Etzdorfer Str. 2,7607,Eisenberg,https://portal.stadtwerke-eisenberg.de/,A,X,,,,X,,,,,
,Stadtwerke Eisenhüttenstadt GmbH,https://swehst.de/huettestrom/energiemix/,nicht aktuell,,,,,A,X,,,,,,,,,
,Stadtwerke Elbtal GmbH,https://www.stadtwerke-elbtal.de/C1257C900056C2B3/2E609DFD4B7CAD9CC1257C7D0025B4C2/$FILE/Stadtwerke-Elbtal-Stromkennzeichnung.pdf,,Neubrunnstraße 8,1445,Radebeul,https://www.stadtwerke-elbtal.de/swelbtal/InfoPortal/startseite,A,X,,,,X,,,,,
,Stadtwerke Elm-Lappwald GmbH,https://www.stadtwerke-elm-lappwald.de/privatkunden/strom/stromkennzeichnung/,nicht aktuell,Marktstraße 18,38154,Königslutter am Elm,https://www.stadtwerke-elm-lappwald.de/,A,X,,,,X,,,,,
,Stadtwerke Elmshorn,https://www.stadtwerke-elmshorn.de/de/Privatkunden/Energie-Wasser/Strom/STROM-Plus/STROM-Plus/Stromkennzeichnung2017.pdf,,Westerstr. 50 - 54,25336,Elmshorn,https://www.stadtwerke-elmshorn.de/,A,X,,,,X,,,,,
,Stadtwerke Elzach Versorgungs- und Kurbetriebe,"https://www.elzach.de/,Lde/startseite/rathaus+_+service/strom.html",nicht aktuell,Hauptstraße 99,79215,Elzach,"https://www.elzach.de/,Lde/startseite/rathaus+_+service/eigenbetrieb+stadtwerke.html",A,X,,,,,,,,,
,Stadtwerke Emden GmbH,https://stadtwerke-emden.de/strom/privatkunden/,nicht aktuell,Martin-Faber-Str. 11,26725,Emden,https://stadtwerke-emden.de/,A,X,,,,X,,,,,
,Stadtwerke Emmendingen GmbH,https://swe-emmendingen.de/wp-content/uploads/2012/10/Stromkennzeichnung_2017.pdf,,Am Gaswerk 1,79312,Emmendingen,https://swe-emmendingen.de/,?,,,,,,,,,,
,Stadtwerke Emmerich GmbH,https://www.stadtwerke-emmerich.de/de/Netzbetrieb/Stromnetz/Stromkennzeichnung_58162.html,,Wassenbergstraße 1,46446,Emmerich,https://www.stadtwerke-emmerich.de/,A,X,,,,X,,,,,
,Stadtwerke Emsdetten GmbH,https://www.stadtwerke-emsdetten.de/service/veroeffentlichungspflichten/,,Moorbrückenstraße 30,48282,Emsdetten,https://www.stadtwerke-emsdetten.de/,A,X,,,,X,,,,,
,Stadtwerke Energie Jena-Pößneck GmbH,https://www.stadtwerke-jena.de/privatkunden/strom/allgemeines.html,,Rudolstädter Straße 39,7745,Jena,https://www.stadtwerke-jena.de/privatkunden.html,A,X,,,,X,,,,,
,Stadtwerke Engen GmbH,http://www.stadtwerke-engen.de/engenGips/Gips?SessionMandant=Engen&Anwendung=CMSWEBPAGE&Methode=RefreshHTMLAusgabe&RessourceID=37163&Container.Children:1.SelectedChildIndex=0&Container.Children:1.Container.Children:0.SelectedFolderID=11793#DownloadCenter_38424,,Eugen-Schädler-Str. 3,78234,Engen,https://www.stadtwerke-engen.de/,A,X,,,,X,,,,,
,Stadtwerke Eppingen GmbH & Co. KG,https://www.stadtwerke-eppingen.de/strom.html,nicht vorhanden,,,,,A,X,,,,,,,,,
,Stadtwerke Erkrath GmbH,https://www.stadtwerke-erkrath.de/privatkunden/strom/strommix/,,Gruitener Straße 27,40699,Erkrath,https://www.stadtwerke-erkrath.de/,??,,,,,,,,,,
,Stadtwerke Eschwege GmbH,https://www.stadtwerke-eschwege.de/de/Strom/Stromkennzeichnung/,,Niederhoner Straße 36,37269,Eschwege,https://www.stadtwerke-eschwege.de/,A,X,,,,X,,,,,
,Stadtwerke Essen AG,https://www.stadtwerke-essen.de/fileadmin/user_upload/PDF/Strom/Essenstrom/EssenStrom_Energietra__germix_2018-11.pdf,,Rüttenscheider Straße 27 - 37,45128,Essen,https://www.stadtwerke-essen.de/,A,X,X,,,X,,,,,
,Stadtwerke Ettlingen GmbH,https://www.sw-ettlingen.de/de/Strom/Mehr-Infos-zum-Strom/,,Hertzstraße 33,76275,Ettlingen,https://www.sw-ettlingen.de/,A,X,,,,X,,,,,
,Stadtwerke Eutin GmbH,https://www.stadtwerke-eutin.de/eutinGips/Gips?SessionMandant=Eutin&Anwendung=EnWGKnotenAnzeigen&PrimaryId=9&Mandantkuerzel=Eutin&Navigation=J,,Holstenstraße 6,23701,Eutin,https://www.stadtwerke-eutin.de/,A,X,?,X,,,,,OKPower,,
,Stadtwerke EVB Huntetal GmbH,https://www.stadtwerke-huntetal.de/de/Privatkunden/Strom/,,Amelogenstr. 1,49356,Diepholz,https://www.stadtwerke-huntetal.de/,A,X,,,,X,,,,,
,Stadtwerke Fellbach GmbH,http://www.stadtwerke-fellbach.de/fileadmin/user_upload/sparte/strom/strommix.pdf,,Ringstraße 5,70736,Fellbach,https://www.stadtwerke-fellbach.de/,A,X,,,,,,,,x,
,Stadtwerke Feuchtwangen,https://stadtwerke-feuchtwangen.de/index.php/vertrieb-tarife.html,,Ansbacher Straße 29,91555,Feuchtwangen,https://stadtwerke-feuchtwangen.de/startseite.html,A,,,,,,,,,,
,Stadtwerke Finsterwalde GmbH,https://www.stadtwerke-finsterwalde.de/cms/Strom/Stromkennzeichnung/Stromkennzeichnung/Stromkennzeichung-SF-2018.pdf,,Langer Damm 14,3238,Finsterwalde,https://www.stadtwerke-finsterwalde.de/,A,X,,,,X,,,,,
,Stadtwerke Flensburg GmbH,https://www.stadtwerke-flensburg.de/fileadmin/user_upload/pdf/strom/Strommix/Strommix-SWFL-2017.pdf,,Batteriestr. 48,24939,Flensburg,http://www.stadtwerke-flensburg.de/,A,X,,,,,,,,,
,Stadtwerke Forchheim GmbH,https://www.stadtwerke-forchheim.de/legal/pflichtveroeffentlichungen/,,Haidfeldstrasse 8,91301,Forchheim,https://www.stadtwerke-forchheim.de/,A,X,,,,X,,,,,
